DISTRICT,COMMUNITY,ID,DATE,Occupation 1,Occupation 2,Occupation 3,Roles_A,Roles_B,"Years of farming
 (yrs)","Education_level 
(grade)",Gender,"Farm size
(acres)",Actual farm size (acres),Number of farms,Terms of land right 1,Terms of land right 2,Terms of land right 3,Comment,
10,10,01,01.05.23,Cocoa farmer,Mining Safety officer,,,Traditional leader (Chief),21-30,Tertiary,M,>30,42,3,Landowner,,,Family  ,
10,10,02,01.05.23,Cocoa farmer,,,,Purchasing Clerk,>30,Junior high,M,5-10,5,1,Landowner,,,,
10,10,03,02.05.23,Cocoa farmer,Staple food trader,,,Women corporative leader,21-30,Primary,F,11-20,14,2,Abunu,Landowner,,"Abunu 12 acres, 2 acres from marriage",
10,10,04,02.05.23,Cocoa farmer,Staple food trader,,,,11-20,Primary,F,5-10,9,2,Landowner,Abunu,,"4 own, 5 abunu",
10,10,05,02.05.23,Cocoa farmer,Staple food trader,,,,21-30,Junior high,F,5-10,9,2,Landowner,,,Marriage,
10,10,06,02.05.23,Cocoa farmer,Staple food trader,,,,11-20,Junior high,F,5-10,8,2,Landowner,,,Marriage,
10,10,07,02.05.23,Cocoa farmer,,,,,>30,No formal education,F,11-20,15,2,Landowner,,,,
10,10,08,02.05.23,Cocoa farmer,,,,,5-10,No formal education,F,< 5,1.5,1,Landowner,,,,
10,10,09,02.05.23,Cocoa farmer,Staple food trader,,,,>30,Junior high,F,21-30,21,4,Landowner,,,Parents,
10,10,10,02.05.23,Cocoa farmer,,,,Purchasing Clerk,11-20,Junior high,M,5-10,10,2,Landowner,,,,
10,10,11,02.05.23,Cocoa farmer,Seamstress,,,,5-10,Junior high,F,< 5,2,1,Landowner,,,Family,
10,10,12,02.05.23,Cocoa farmer,Petty trader,,,,5-10,Junior high,F,< 5,1.3,1,Landowner,,,Family,
10,10,13,02.05.23,Cocoa farmer,Oil palm trader,,,,>30,No formal education,M,11-20,17,2,Landowner,Abunu,,11 acres gotten through abunu,
10,10,14,02.05.23,Cocoa farmer,Petty trader,,,,>30,Secondary,M,5-10,7.5,2,Landowner,Abunu,,,
10,10,15,02.05.23,Cocoa farmer,Staple food trader,,,,5-10,Junior high,F,5-10,6,3,Landowner,,,,
10,10,16,02.05.23,Cocoa farmer,Cold store,,,,11-20,Primary,F,11-20,15,2,Landowner,,,,
10,10,17,02.05.23,Cocoa farmer,,,,,5-10,Junior high,M,< 5,2.7,1,Abunu,Abusa,,"8 years abusa (caretaker), 4 years abunu",
10,10,18,02.05.23,Cocoa farmer,,,,,5-10,No formal education,M,21-30,27,2,Abunu,Abusa,,"7 acres abunu (1 year now), 20 acres abusa",
10,10,19,03.05.23,Cocoa farmer,Petty trader,,,,>30,Primary,F,5-10,6,1,Landowner,,,Family land,
10,10,20,03.05.23,Cocoa farmer,,,,,21-30,Primary,M,11-20,14,4,Abunu,,,Gotten through abunu,
10,10,21,04.05.23,Cocoa farmer,,,,,>30,Primary,M,11-20,19,5,Landowner,,,Landowner,
10,10,22,04.05.23,Cocoa farmer,,,,,>30,No formal education,F,5-10,6,1,Landowner,,,"Landowner through marriage,  7 acres in total, farming progressively",
10,10,23,04.05.23,Cocoa farmer,,,,,5-10,No formal education,M,< 5,2,1,Abunu,Abusa,,Got land through abunu. Did abusa alongside. Farmers pay part of fertilizer,
10,10,24,04.05.23,Cocoa farmer,Staple food trader,,,Chief Farmer,>30,Secondary,M,>30,45,1,Landowner,Abunu,,"Family land, bought some, did abunu to add",
10,10,25,05.05.23,Cocoa farmer,,,,Purchasing Clerk,< 5,Secondary,M,5-10,8,4,Landowner,Press,,"Family alnd, Bought land, gained farm through press",
10,10,26,05.05.23,Cocoa farmer,Oil palm trader,,,,>30,No formal education,M,21-30,30,3,Landowner,Abunu,,Gained farm through abunu) 10 acres),
10,10,27,05.05.23,Cocoa farmer,,,,,>30,Junior high,M,11-20,16.5,4,Abunu,,,Gained some farm through abunu,
10,10,28,05.05.23,Cocoa farmer,Livestock farmer,,,,5-10,Junior high,M,11-20,12,4,Landowner,Press,,Gained farm through press,
10,10,29,05.05.23,Cocoa farmer,,,,,>30,Primary,F,21-30,22,3,Abunu,,,Got farm through abunu,
10,10,30,08.05.23,Cocoa farmer,Construction materials trader,,,,>30,Secondary,M,11-20,20,2,Landowner,,,,
10,10,31,09.05.23,Cocoa farmer,Fashion designer,,,,11-20,Junior high,M,5-10,10,2,Landowner,Abunu,,Family,
10,10,32,09.05.23,Cocoa farmer,Construction worker,,,,< 5,Secondary,M,5-10,6,1,Abunu,,,,
10,10,33,09.05.23,Cocoa farmer,Construction worker,,,Purchasing Clerk,< 5,Primary,M,5-10,8,2,Press,,,,
10,10,34,09.05.23,Cocoa farmer,,,,,5-10,Secondary,M,5-10,9,1,Landowner,,,Family,
10,10,35,09.05.23,Cocoa farmer,Tricycle owner,Purchasing Clerk,Tricycle owner,Purchasing Clerk,5-10,Secondary,M,21-30,26,2,Landowner,Abunu,,Family,20 acres from deceased father
10,10,36,09.05.23,Caretaker,Labourer,,Labourer,,5-10,Junior high,M,5-10,7.5,1,Abusa,,,,Pruning labourer
10,10,37,09.05.23,Caretaker,,,,,< 5,No formal education,M,< 5,4,1,Abusa,,,,
10,10,38,09.05.23,Cocoa farmer,Trader,,,,11-20,Junior high,F,< 5,4,1,Landowner,,,Marriage,
10,10,39,11.05.23,Cocoa farmer,,,,National best farmer 2011,>30,Junior high,M,>30,165,5,Landowner,,,"Bought land, use caretakers",
10,10,40,13.05.23,Caretaker,Electrician,,,,5-10,Junior high,M,< 5,2.3,2,Abusa,,,,
10,10,41,13.05.23,Cocoa farmer,,,,,5-10,Junior high,M,5-10,6,2,Landowner,,,Family,
10,10,42,13.05.23,Cocoa farmer,,,,,11-20,No formal education,F,< 5,1.3,1,Landowner,,,"Has care taker taking care of the farm, family land",
10,10,43,13.05.23,Cocoa farmer,Car dealer,,,Traditional leader (Chief),>30,Junior high,M,5-10,10.7,1,Landowner,,,,
10,10,44,13.05.23,Cocoa farmer,,,,,11-20,No formal education,F,5-10,4.7,2,Abunu,,,,
10,10,45,13.05.23,Cocoa farmer,Livestock farmer,,,,5-10,Junior high,M,5-10,10,1,Abunu,,,Through father's abunu,
10,10,46,13.05.23,Cocoa farmer,Staple food trader,,,,5-10,No formal education,F,5-10,5.3,1,Landowner,,,Wife of landownwer,
10,10,47,16.05.23,Cocoa farmer,,,,,21-30,Junior high,M,11-20,15,3,Abunu,,,,
10,10,48,17.05.23,Cocoa farmer,,,,,21-30,No formal education,M,21-30,25.5,2,Abunu,,,,
10,10,49,17.05.23,Cocoa farmer,Staple food trader,,,,21-30,Primary,F,5-10,7,1,Abunu,,,wife of 48,
10,10,50,17.05.23,Cocoa farmer,,,,,>30,Junior high,M,21-30,23.5,4,Abunu,,,,
10,20,01,18.05.23,Cocoa farmer,Livestock farmer,,,Chief Farmer,>30,Junior high,M,11-20,20,1,Landowner,,,Family,
10,20,02,18.05.23,Cocoa farmer,Staple food trader,,,Assistant chief farmer,>30,No formal education,F,< 5,4,1,Landowner,,,Family,
10,20,03,18.05.23,Cocoa farmer,Caretaker,,,Labourer,21-30,Junior high,M,5-10,6,2,Abunu,Abusa,,,
10,20,04,18.05.23,Cocoa farmer,Caretaker,,,Labourer,11-20,No formal education,F,5-10,5.8,4,Landowner,Abunu,Abusa,Labourer on cocoa and nursing training,
10,20,05,18.05.23,Cocoa farmer,Caretaker ,Staple food trader,,Purchasing clerk,11-20,Junior high,M,5-10,5,2,Abunu,Abusa,,,
10,20,06,18.05.23,Cocoa farmer,,,,Corporative leader,11-20,Junior high,M,11-20,12,3,Abunu,,,,
10,20,07,18.05.23,Cocoa farmer,Caretaker,,,,5-10,No formal education,M,11-20,12,3,Abunu,Abusa,,,
10,20,08,18.05.23,Cocoa farmer,,,,,21-30,Junior high,M,11-20,14,2,Abunu,Abusa,,,
10,30,01,23.05.23,Cocoa farmer,Cold store,,,Purchasing clerk,21-30,Junior high,F,11-20,20,4,Abunu,,,Uses caretakers,
10,30,02,23.05.23,Cocoa farmer,Drinks Bar,,,Traditional leader (Chief),>30,Secondary,M,21-30,30,1,Landowner,,,Family ties,
10,30,03,23.05.23,Cocoa farmer,Staple food trader,,,Purchasing clerk,21-30,Junior high,M,11-20,16,6,Landowner,,,Family + bought,
10,30,04,23.05.23,Cocoa farmer,School feeding program,,,,21-30,Junior high,F,5-10,6,2,Landowner,,,Family,
10,30,05,23.05.23,Cocoa farmer,Coconut farmer,,,Coorporative Chairman,11-20,Junior high,M,11-20,20,3,Landowner,,,Family,
10,30,06,24.05.23,Caretaker,Timber cutter,,,Labourer,< 5,Primary,M,5-10,5,1,Abusa,,,,
10,30,07,24.05.23,Cocoa farmer,Staple food trader,,Hair stylist,,11-20,Primary,F,5-10,5,2,Landowner,Abunu,,Family,
10,30,08,24.05.23,Cocoa farmer,,,,,>30,Primary,M,11-20,15,2,Landowner,,,Family,
10,30,09,24.05.23,Caretaker,Labourer,,Labourer,,5-10,Primary,M,11-20,12,2,Abusa,,,,
10,30,10,24.05.23,Cocoa farmer,Staple food trader,,,,>30,No formal education,M,11-20,12,3,Landowner,,,,
10,30,11,24.05.23,Caretaker,Butcher,Abunu,,,< 5,No formal education,M,5-10,7,2,Abusa,Abunu,,Weeding abunu with time (3 acres),
10,30,12,24.05.23,Cocoa farmer,Staple food trader,,,Galamsey,>30,No formal education,F,11-20,20,2,Abunu,Landowner,,Husband and wife,
10,30,13,25.05.23,Cocoa farmer,Staple food trader,,,,>30,Junior high,M,11-20,15,2,Landowner,,,Family,
