x1,x2,x3,x4,x5,x6,x7,BusExp,x8,x9,x10,x11,x12,x13,x14,Leg3yrs,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x44,x45,X46,x47,DBZArrears,Y1,X5_B,X8_B,X10_B,X11_B,X13_B,X15_B,X21_B,X22_B,X23_B,X24_B,X25_B,X26_B,X27_B,X29_B,X30_B,X31_B,X32_B,X35_B,X36_B,X38_B,X39_B,X40_B,X41_B,X47_B,,,,
0.049104867,0.110644946,0.138828218,1.146603056,4,54,1,1,3,0,1,2,0,3,1,0,2,1,5,0,1,1,3,1,4,1,2,2,1,1,1,3,4,2,1,0,2,1,1,2,1,3,3,1,1,0,0,1,1,1,-0.1104364,0.4812108,0,-0.037512,0.081681,0.1638494,0,0,0.048658,0.1210122,0.1653404,-0.0582926,0,0,-0.1170087,0.3149208,-0.1027042,0.2599122,0,0.1261138,0,-0.0994614,0.1642269,0.0240762,,,,
-0.852627018,0.064176861,0.264700419,0.67852374,3,97,3,1,1,1,3,1,1,3,0,1,1,0,2,0,0,1,2,3,2,2,3,4,2,0,3,2,2,2,1,1,4,3,0,3,2,2,3,0,0,0,0,1,3,0,-0.0161955,0,0.026991,0,0.081681,0,0,0.3184479,0.0048212,0.1820028,-0.0720777,-0.1839524,0.0168212,0.0230274,-0.0069322,0.0986864,-0.1027042,0.0913428,0.0329004,-0.012048,-0.0457358,0.0150968,0.1642269,0.0240762,,,,
0.103408782,0.042262023,0.043527236,0.253574896,2,86,1,3,4,0,1,3,0,2,1,0,1,0,2,0,0,0,0,3,2,1,2,3,2,0,2,4,1,3,2,0,3,4,1,2,2,2,4,1,0,1,0,3,2,1,-0.0734242,-0.0387804,0,0.4812108,0.240783,0,0,0.3184479,0.0048212,0.1210122,0.1653404,-0.0520806,0.0168212,-0.1141034,-0.0376876,0,-0.1296222,0.470607,0.0406388,0.1261138,-0.0457358,0.0150968,0.3661716,-0.1243562,,,,
-0.206586596,0.045771957,0.101816383,0.189035182,1,192,3,1,5,1,2,4,1,3,0,0,1,1,3,0,1,0,0,2,4,2,1,3,1,0,1,4,1,1,1,0,2,1,1,2,1,1,1,1,0,1,1,1,4,0,0,0.2546845,0.1084876,-0.0387804,0.081681,0,0,0.0389254,0.048658,0.1820028,0,-0.0520806,0,0,-0.0376876,0,0,0.2599122,0,0.1261138,0,0,0,-0.1243562,,,,
-0.167019598,0.043249493,0.038699946,0.092146598,1,97,1,3,3,0,1,5,1,1,1,0,1,0,3,0,1,0,0,1,4,0,2,4,2,0,3,1,4,3,2,0,5,3,0,1,2,3,2,1,0,0,1,3,1,1,0,0.4812108,0,0.2546845,0,0,-0.1125469,0,0.048658,,0.1653404,-0.1839524,0.0168212,0.0230274,0,0.3149208,-0.1296222,0.6540055,0.0329004,0,-0.0457358,-0.0994614,0.2213062,0.0240762,,,,
0.86330429,0.086501945,0.12219536,1.126702618,2,198,3,3,3,1,1,5,1,2,0,1,1,1,5,1,0,1,3,1,3,1,1,1,1,0,3,3,4,2,2,1,1,4,1,1,3,1,4,1,0,0,0,3,1,1,-0.0734242,0.4812108,0,0.2546845,0.240783,0,-0.3005478,0,-0.1617789,0.1210122,0,0,0,0.0230274,-0.1170087,0.3149208,-0.1027042,0,0.0406388,0,-0.1396392,0,0.3661716,0.0240762,,,,
0.23818607,0.039262881,0.067245739,0.05357324,1,174,1,2,1,0,1,5,1,2,0,1,3,0,1,0,1,0,0,2,2,2,3,2,2,0,3,1,1,1,1,0,2,5,1,2,1,1,4,0,0,0,1,2,2,0,0,0,0,0.2546845,0.240783,0.2457741,0,0.0389254,0.0048212,0.1820028,-0.0720777,-0.0582926,0.0168212,0.0230274,0,0,0,0.2599122,-0.225641,0.1261138,0,0,0.3661716,-0.1243562,,,,
0.328914413,0.019873283,0.039802506,0.112274216,1,107,2,3,5,0,2,3,1,2,1,1,1,1,1,0,1,1,1,1,2,2,2,2,3,1,2,1,1,1,2,1,5,2,1,3,2,1,3,1,1,1,0,3,1,0,0,0.2546845,0.1084876,0.4812108,0.240783,0,0,0,0.0048212,0.1820028,0.1653404,-0.0582926,0.1977084,-0.1141034,0,0,0,0.6540055,-0.095697,-0.012048,-0.0457358,0,0.1642269,0.0240762,,,,
-0.253300474,0.017880522,0.032257328,0.224804117,3,92,1,2,3,1,1,4,0,1,1,1,3,1,4,0,1,1,5,2,1,0,2,3,1,0,2,4,3,1,1,0,5,3,0,1,3,1,1,1,1,1,0,2,3,0,-0.0161955,0.4812108,0,-0.0387804,0,0.2457741,0,0.0389254,0,,0.1653404,-0.0520806,0,-0.1141034,-0.0376876,-0.0416343,0,0.6540055,0.0329004,0,-0.1396392,0,0,0.0240762,,,,
0.278840951,0.031438101,0.058914811,0.063845661,2,129,2,3,2,1,1,5,0,3,0,0,3,1,3,1,1,1,4,3,2,1,3,2,2,0,3,2,4,1,1,1,3,5,0,2,2,3,3,1,1,0,0,3,3,0,-0.0734242,-0.037512,0,0.2546845,0.081681,0.2457741,-0.5561625,0.3184479,0.0048212,0.1210122,-0.0720777,-0.0582926,0.0168212,0.0230274,-0.0069322,0.3149208,0,0.470607,-0.225641,0.1261138,-0.0457358,-0.0994614,0.1642269,0,,,,
