Description,Year,Gender,Percentage
Mobile Phone,2019,Female,63
Mobile Phone,2020,Female,67
Mobile Phone,2021,Female,71
Smartphone,2019,Female,14
Smartphone,2020,Female,25
Smartphone,2021,Female,26
Mobile Internet User,2019,Female,21
Mobile Internet User,2020,Female,30
Mobile Internet User,2021,Female,30
Mobile Phone,2019,Male,79
Mobile Phone,2020,Male,79
Mobile Phone,2021,Male,83
Smartphone,2019,Male,37
Smartphone,2020,Male,41
Smartphone,2021,Male,49
Mobile Internet User,2019,Male,42
Mobile Internet User,2020,Male,45
Mobile Internet User,2021,Male,51
